S.No,Location Id,Address,Pin Code,District,ULB Categorisation,,
1,1,"azadpur metro, Delhi, Delhi NCR",110033,New Delhi,New Delhi Municipal Council,,
2,2,"azadpur metro, Delhi, Delhi NCR",110033,New Delhi,New Delhi Municipal Council,,
3,3,"sagar hospital basai, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
4,4,"sagar hospital basai, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
5,5,"shri balaji hospital, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
6,6,"shri balaji hospital, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
7,7,"sanjeevani hospital sec 9b road, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
8,8,"sanjeevani hospital sec 9b road, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
9,9,"temple, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
10,10,"temple, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
11,11,"civil hospital sector 10, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
12,12,"civil hospital sector 10, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
13,13,"civil hospital sec 10, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
14,14,"civil hospital sec 10, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
15,15,"sec 9 a, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
16,16,"sec 9 a, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
17,17,"kadi pur ram avatar sec10A, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
18,18,"kadi pur ram avatar sec10A, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
19,19,"sec 37c petrol palm, Gurgaon, Delhi NCR",122004,Gurgaon,Municipal Corporation of Gurgaon,,
20,20,"sec 37c petrol palm, Gurgaon, Delhi NCR",122004,Gurgaon,Municipal Corporation of Gurgaon,,
21,21,"sec 10A  kadi pur, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
22,22,"sec 10A  kadi pur, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
23,23,"vikash oppbesai road, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
24,24,"vikash oppbesai road, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
